Crm Cd Desc,crime_family
ARSON,Vandalism
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,"Aggravated assault, robbery & homicide"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Aggravated assault, robbery & homicide"
ATTEMPTED ROBBERY,"Aggravated assault, robbery & homicide"
BATTERY - SIMPLE ASSAULT,Simple assault
BATTERY ON A FIREFIGHTER,Simple assault
BATTERY POLICE (SIMPLE),Simple assault
BATTERY WITH SEXUAL CONTACT,Sex offences
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",Sex offences
BIGAMY,Other
BIKE - ATTEMPTED STOLEN,Other theft
BIKE - STOLEN,Other theft
BLOCKING DOOR INDUCTION CENTER,Other
BOAT - STOLEN,Vehicle theft
BOMB SCARE,Other
BRANDISH WEAPON,"Aggravated assault, robbery & homicide"
BRIBERY,Identity theft & fraud
"BUNCO, ATTEMPT",Identity theft & fraud
"BUNCO, GRAND THEFT",Identity theft & fraud
"BUNCO, PETTY THEFT",Identity theft & fraud
BURGLARY,Burglary
BURGLARY FROM VEHICLE,Theft from vehicle
"BURGLARY FROM VEHICLE, ATTEMPTED",Theft from vehicle
"BURGLARY, ATTEMPTED",Burglary
CHILD ABANDONMENT,Other
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,"Aggravated assault, robbery & homicide"
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Simple assault
CHILD ANNOYING (17YRS & UNDER),Sex offences
CHILD NEGLECT (SEE 300 W.I.C.),Other
CHILD PORNOGRAPHY,Sex offences
CHILD STEALING,Other
CONSPIRACY,Other
CONTEMPT OF COURT,Other
CONTRIBUTING,Other
COUNTERFEIT,Identity theft & fraud
"CREDIT CARDS, FRAUD USE ($950 & UNDER",Identity theft & fraud
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Identity theft & fraud
CRIMINAL HOMICIDE,"Aggravated assault, robbery & homicide"
CRIMINAL THREATS - NO WEAPON DISPLAYED,Other
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Sex offences
CRUELTY TO ANIMALS,Other
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",Identity theft & fraud
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",Identity theft & fraud
DISCHARGE FIREARMS/SHOTS FIRED,"Aggravated assault, robbery & homicide"
DISHONEST EMPLOYEE - GRAND THEFT,Identity theft & fraud
DISHONEST EMPLOYEE - PETTY THEFT,Identity theft & fraud
DISHONEST EMPLOYEE ATTEMPTED THEFT,Identity theft & fraud
DISRUPT SCHOOL,Other
DISTURBING THE PEACE,Other
DOCUMENT FORGERY / STOLEN FELONY,Identity theft & fraud
DOCUMENT WORTHLESS ($200 & UNDER),Identity theft & fraud
DOCUMENT WORTHLESS ($200.01 & OVER),Identity theft & fraud
DRIVING WITHOUT OWNER CONSENT (DWOC),Vehicle theft
"DRUGS, TO A MINOR",Other
DRUNK ROLL,Other theft
DRUNK ROLL - ATTEMPT,Other theft
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Identity theft & fraud
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Identity theft & fraud
EXTORTION,Identity theft & fraud
FAILURE TO DISPERSE,Other
FAILURE TO YIELD,Other
FALSE IMPRISONMENT,Other
FALSE POLICE REPORT,Other
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),Other
FIREARMS RESTRAINING ORDER (FIREARMS RO),Other
GRAND THEFT / AUTO REPAIR,Other theft
GRAND THEFT / INSURANCE FRAUD,Identity theft & fraud
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Sex offences
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Other
ILLEGAL DUMPING,Other
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Sex offences
INCITING A RIOT,Other
INDECENT EXPOSURE,Sex offences
INTIMATE PARTNER - AGGRAVATED ASSAULT,"Aggravated assault, robbery & homicide"
INTIMATE PARTNER - SIMPLE ASSAULT,Simple assault
KIDNAPPING,"Aggravated assault, robbery & homicide"
KIDNAPPING - GRAND ATTEMPT,"Aggravated assault, robbery & homicide"
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Other
LEWD CONDUCT,Sex offences
